title,funder_name,funder_type,description,sectors,geography,deadline,requires_12a,requires_80g,requires_fcra,min_years_registered,source_url,verified
Technology Interventions for Disabled and Elderly (TIDE),Dept. of Science & Technology,govt,Developing technological solutions for improving the quality of life of disabled and elderly.,technology|disability,India,,true,false,false,3,https://dst.gov.in,yes
Assistance to Disabled Persons for Purchase/Fitting of Aids/Appliances (ADIP),DEPwD,govt,"Assisting needy disabled persons in procuring durable, sophisticated and scientifically manufactured modern standard aids.",disability,India,,true,false,false,3,https://depwd.gov.in,yes
District Disability Rehabilitation Centres (DDRC),DEPwD,govt,Providing comprehensive services to persons with disabilities at the grass root level.,disability,India,,true,false,false,3,https://depwd.gov.in,yes
Nai Roshni,Ministry of Minority Affairs,govt,Leadership development of minority women.,women_empowerment|minority_welfare,India,,true,false,false,3,https://minorityaffairs.gov.in,yes
Seekho Aur Kamao,Ministry of Minority Affairs,govt,Skill development scheme for youth of minority communities.,skill_development|minority_welfare,India,,true,false,false,3,https://minorityaffairs.gov.in,yes
Nai Manzil,Ministry of Minority Affairs,govt,Education and skill training for school drop-outs from minority communities.,education|minority_welfare,India,,true,false,false,3,https://minorityaffairs.gov.in,yes
Formation and Promotion of 10000 FPOs,NABARD,govt,Support for forming and promoting Farmer Producer Organizations.,agriculture|rural_development,India,,true,false,false,3,https://nabard.org,yes
Watershed Development Fund (WDF),NABARD,govt,Participatory watershed development projects through NGOs.,agriculture|water_sanitation,India,,true,false,false,3,https://nabard.org,yes
Tribal Development Fund (TDF) - Wadi,NABARD,govt,Promoting sustainable livelihoods for tribal families based on tree-based farming.,agriculture|rural_development,India,,true,false,false,3,https://nabard.org,yes
Atal Community Innovation Centre (ACIC),NITI Aayog,govt,Encouraging a spirit of innovation in unserved/underserved regions of India.,technology|capacity_building,India,,true,false,false,1,https://aim.gov.in,yes
Rashtriya Gram Swaraj Abhiyan (RGSA),Ministry of Panchayati Raj,govt,Capacity building and training of Panchayati Raj Institutions.,governance|capacity_building,India,,true,false,false,3,https://panchayat.gov.in,yes
National Environment Awareness Campaign (NEAC),Ministry of Environment,govt,Creating environmental awareness at the national level.,environment,India,,true,false,false,3,https://moef.gov.in,yes
National Mission for Green India (GIM),Ministry of Environment,govt,"Protecting, restoring and enhancing India's diminishing forest cover.",environment,India,,true,false,false,3,https://moef.gov.in,yes
National AIDS Control Programme (NACP) Targeted Interventions,Ministry of Health,govt,Targeted interventions for high-risk groups to prevent HIV spread.,health,India,,true,false,false,3,https://naco.gov.in,yes
National TB Elimination Programme (NTEP) NGO Partnership,Ministry of Health,govt,NGO engagement for TB care and control activities.,health,India,,true,false,false,3,https://tbcindia.gov.in,yes
DAY-NRLM NGO Partnerships,Ministry of Rural Development,govt,Promoting rural livelihoods and self-help groups.,livelihood|rural_development,India,,true,false,false,3,https://rural.nic.in,yes
MGNREGA Civil Society Partnerships,Ministry of Rural Development,govt,"Collaboration for social audits, planning and implementation of MGNREGA works.",livelihood|rural_development,India,,true,false,false,3,https://nrega.nic.in,yes
Samagra Shiksha NGO Interventions,Ministry of Education,govt,Improving quality of school education through specific interventions.,education,India,,true,false,false,3,https://samagra.education.gov.in,yes
Padhna Likhna Abhiyan,Ministry of Education,govt,Adult literacy programme for non-literates.,education,India,,true,false,false,3,https://education.gov.in,yes
Ayushman Bharat NGO Engagement,Ministry of Health,govt,Community engagement for health and wellness initiatives.,health,India,,true,false,false,3,https://ab-hwc.nhp.gov.in,yes
PM-KUSUM Civil Society Outreach,Ministry of New and Renewable Energy,govt,Promoting solar pumps and decentralized solar power plants.,environment|agriculture,India,,true,false,false,3,https://mnre.gov.in,yes
Science for Equity Empowerment and Development (SEED),Dept. of Science & Technology,govt,Supports field groups and NGOs applying science and technology interventions for livelihood generation among disadvantaged communities.,livelihood|technology|rural_development,India,,true,false,false,3,https://dst.gov.in/scientific-programmes/scientific-engineering-research,yes
Scheme of Assistance to Voluntary Organisations for Welfare of SCs,Ministry of Social Justice & Empowerment,govt,"Grants-in-aid to registered voluntary organisations running residential and non-residential schools, hostels, coaching and vocational training centres for Scheduled Caste beneficiaries.",education|social_welfare,India,,true,false,false,3,https://socialjustice.gov.in,yes
Tata Trusts Education Grant,Tata Trusts,csr,Supporting quality education and learning outcomes for marginalized children.,education,India,,true,true,false,5,https://tatatrusts.org,yes
Tata Trusts Health Grant,Tata Trusts,csr,"Improving healthcare access, maternal and child health, and nutrition.",health,India,,true,true,false,5,https://tatatrusts.org,yes
Tata Trusts Livelihood Grant,Tata Trusts,csr,"Enhancing rural livelihoods, agriculture, and skill development.",livelihood,India,,true,true,false,5,https://tatatrusts.org,yes
Azim Premji Foundation Education Grant,Azim Premji Foundation,foundation,"Working towards equitable, quality education for all.",education,India,,true,true,false,5,https://azimpremjifoundation.org,yes
Azim Premji Foundation Philanthropy Grants,Azim Premji Foundation,foundation,Supporting non-profits working for vulnerable and marginalized groups.,governance|social_welfare,India,,true,true,false,5,https://azimpremjifoundation.org,yes
HDFC Bank Parivartan Rural Development,HDFC Bank,csr,Holistic rural development projects covering multiple sectors.,rural_development,India,,true,true,false,3,https://hdfcbank.com,yes
HDFC Bank Parivartan Education,HDFC Bank,csr,Improving infrastructure and quality of education in schools.,education,India,,true,true,false,3,https://hdfcbank.com,yes
Infosys Foundation Healthcare Grant,Infosys Foundation,foundation,"Supporting hospitals, medical research, and rural healthcare.",health,India,,true,true,false,5,https://infosys.com,yes
Infosys Foundation Education Grant,Infosys Foundation,foundation,"Promoting primary education, midday meals, and higher education scholarships.",education,India,,true,true,false,5,https://infosys.com,yes
Wipro Foundation Education Grant,Wipro Foundation,foundation,Systemic reforms in school education and teacher capacity building.,education,India,,true,true,false,3,https://wipro.com,yes
Wipro Foundation Earthian,Wipro Foundation,foundation,Sustainability education program for schools and colleges.,environment,India,,true,true,false,3,https://wipro.com,yes
Reliance Foundation Rural Transformation,Reliance Foundation,foundation,"Improving farm yields, water security, and rural livelihoods.",rural_development,India,,true,true,false,5,https://reliancefoundation.org,yes
Reliance Foundation Health,Reliance Foundation,foundation,Primary healthcare services through mobile medical units and hospitals.,health,India,,true,true,false,5,https://reliancefoundation.org,yes
ITC Mission Sunehra Kal,ITC Limited,csr,"Social investments in water stewardship, agriculture, and primary education.",agriculture|rural_development,India,,true,true,false,3,https://itcportal.com,yes
Axis Bank Foundation Livelihoods,Axis Bank Foundation,foundation,Enhancing livelihoods for rural and peri-urban communities.,livelihood,India,,true,true,false,3,https://axisbankfoundation.org,yes
JSW Foundation Education Program,JSW Foundation,foundation,Improving access to quality education in communities around plant locations.,education,India,,true,true,false,3,https://jsw.in,yes
JSW Foundation Health Program,JSW Foundation,foundation,Providing comprehensive healthcare services and reducing malnutrition.,health,India,,true,true,false,3,https://jsw.in,yes
HUL Foundation Water Conservation (Prabhat),Hindustan Unilever,csr,Community water conservation and agricultural sustainability projects.,water_sanitation|environment,India,,true,true,false,3,https://hul.co.in,yes
Bharti Foundation Satya Bharti School Program,Bharti Foundation,foundation,Providing free quality education to underprivileged children.,education,India,,true,true,false,3,https://bhartifoundation.org,yes
Cognizant Foundation Education & Skilling,Cognizant Foundation,foundation,"Digital learning, STEM education, and vocational skills training.",education|skill_development,India,,true,true,false,3,https://cognizantfoundation.org,yes
Cognizant Foundation Healthcare,Cognizant Foundation,foundation,"Preventing blindness, supporting maternal/child health, and strengthening healthcare systems.",health,India,,true,true,false,3,https://cognizantfoundation.org,yes
Mahindra Nanhi Kali,Mahindra Foundation,foundation,Supporting education of underprivileged girls across India.,education|women_empowerment,India,,true,true,false,3,https://nanhikali.org,yes
Godrej Good & Green Employability,Godrej,csr,Training youth in vocational skills to improve their employability.,skill_development|livelihood,India,,true,true,false,2,https://godrej.com,yes
Godrej Good & Green Sustainability,Godrej,csr,Environmental sustainability projects including waste management and energy efficiency.,environment,India,,true,true,false,2,https://godrej.com,yes
L&T Public Charitable Trust Water Management,L&T,csr,Integrated community-based water resource management projects.,water_sanitation,India,,true,true,false,3,https://larsentoubro.com,yes
Bajaj Finserv CSR Skilling,Bajaj Finserv,csr,Skill development programs for youth to enhance employability in financial services.,skill_development,India,,true,true,false,2,https://bajajfinserv.in,yes
SBI Foundation Gram Seva,SBI Foundation,foundation,Holistic development of adopted villages through various interventions.,rural_development,India,,true,true,false,3,https://sbifoundation.in,yes
SBI Foundation Jivika,SBI Foundation,foundation,Promoting livelihoods and women empowerment through SHGs and FPOs.,livelihood|women_empowerment,India,,true,true,false,3,https://sbifoundation.in,yes
ICICI Foundation Rural Livelihood,ICICI Foundation,foundation,Enhancing rural livelihoods through skill training and value chain development.,rural_development|livelihood,India,,true,true,false,3,https://icicifoundation.org,yes
Bill & Melinda Gates Foundation Health & Development Grant,Bill & Melinda Gates Foundation,international,"Funding scalable interventions in maternal health, infectious disease control, and agricultural productivity in rural communities.",health|agriculture,India,,true,false,true,3,https://www.gatesfoundation.org,yes
Ford Foundation Civic Engagement and Social Justice Grant,Ford Foundation,international,"Supporting civil society institutions advancing democratic values, social inclusion, and rights of marginalized communities.",governance|social_welfare,India,,true,false,true,3,https://www.fordfoundation.org,yes
MacArthur Foundation Climate Solutions India,MacArthur Foundation,international,"Support for civil society organizations working on clean energy transitions, climate resilience, and conservation.",environment,India,,true,false,true,5,https://www.macfound.org,yes
Global Fund Community Health Grant,The Global Fund,international,"Partnering with local NGOs and community health organizations to prevent and treat tuberculosis, malaria, and HIV.",health|social_welfare,India,,true,false,true,5,https://www.theglobalfund.org,yes
Wellcome Trust International Discovery Award,Wellcome Trust,international,Providing funding for non-profit and research initiatives addressing urgent health challenges including infectious diseases and mental health.,health|technology,India,,true,false,true,5,https://wellcome.org,yes
Oak Foundation Climate and Child Protection Grants,Oak Foundation,international,"Supporting grassroots organisations working on child protection, human rights, and environmental justice.",social_welfare|environment,India,,true,false,true,3,https://oakfnd.org,yes
Rockefeller Foundation Food & Energy Systems Grant,Rockefeller Foundation,international,"Catalyzing innovative agricultural practices, decentralized renewable energy, and community health resilience.",agriculture|environment,India,,true,false,true,3,https://www.rockefellerfoundation.org,yes
Aga Khan Foundation Civil Society Support,Aga Khan Foundation,international,"Empowering community-based institutions in rural livelihoods, early childhood education, and water management.",rural_development|livelihood,India,,true,false,true,3,https://www.akdn.org/our-agencies/aga-khan-foundation,yes
CIFF Child Health and Development Grant,Children's Investment Fund Foundation,international,"Transformational funding for large-scale systemic changes in adolescent sexual health, child survival, and maternal nutrition.",health|women_empowerment,India,,true,false,true,3,https://ciff.org,yes
Michael & Susan Dell Foundation Urban Education Grant,Michael & Susan Dell Foundation,international,Improving learning outcomes for children from low-income urban families and enabling youth livelihood opportunities.,education|livelihood,India,,true,false,true,3,https://www.msdf.org,yes
GAVI Civil Society Health System Strengthening,GAVI Alliance,international,Supporting civil society organisations to reach zero-dose children and strengthen immunization systems in underserved areas.,health|capacity_building,India,,true,false,true,3,https://www.gavi.org,yes
Asia Foundation Community Resilience Grant,Asia Foundation,international,"Fostering environmental sustainability, gender equality, and sustainable local governance partnerships.",governance|environment,India,,true,false,true,3,https://asiafoundation.org,yes
Commonwealth Foundation Civil Society Responsive Grant,Commonwealth Foundation,international,"Grants for participatory governance, civic engagement, and social development delivered through civil society organisations.",governance|women_empowerment,India,,true,false,true,3,https://commonwealthfoundation.com,yes
Global Greengrants Fund Grassroots Action Grant,Global Greengrants Fund,international,Small and flexible grants to grassroots groups tackling local environmental and climate challenges.,environment|social_welfare,India,,true,false,true,2,https://www.greengrants.org,yes
Open Society Foundations Human Rights and Justice Initiative,Open Society Foundations,international,"Supporting independent non-profits that advance justice, equality, and public participation for vulnerable groups.",governance|social_welfare,India,,true,false,true,3,https://www.opensocietyfoundations.org,yes
Grants.gov US Department of State Civil Society Partnership,U.S. Department of State,international,"Funding non-profit cooperative agreements for community development, education, and cultural exchange in South Asia.",education|arts_culture,India,,true,false,true,3,https://www.grants.gov,yes
